Name,Address,City_State_ZIP,ZIP,Number_of_Sites,Url
Grass Lake Marina & RV Park,"26250 W Heart O Lakes Blvd,","Antioch, IL",60002,123,https://www.mhvillage.com/parks/126558
Lupas Resort and Marina,"25276 W Grass Lake Rd,","Antioch, IL",60002,32,https://www.mhvillage.com/parks/72915
Inland Harbor,"38816 Broadway Ave,","Antioch, IL",60002,Not found,https://www.mhvillage.com/parks/69993
Dolphin Harbor,"26222 West Oak Avenue,","Antioch, IL",60002,Not found,https://www.mhvillage.com/parks/10786
North Fox Recreational,"38788 North Broadway Avenue,","Antioch, IL",60002,Not found,https://www.mhvillage.com/parks/10789
Island on the Chain,"38600 N. Lakeside Pl,","Antioch, IL",60002,Not found,https://www.mhvillage.com/parks/72940
Willoway Terrace,"2300 East Oakton Street,","Arlington Heights, IL",60005,339,https://www.mhvillage.com/parks/11670
Oakbrook Estates,"911 Crookedstick Court,","Crystal Lake, IL",60014,400,https://www.mhvillage.com/parks/11041
Royal Oaks Mobile Home Park,"7920 Ridgefield Road,","Crystal Lake, IL",60014,54,https://www.mhvillage.com/parks/11042
Rand Road Community,"1330 Rand Road,","Des Plaines, IL",60016,140,https://www.mhvillage.com/parks/10373
Buckhorn Estates,"2993 Curtis Street,","Des Plaines, IL",60018,143,https://www.mhvillage.com/parks/10367
Blackhawk Estates,"400 West Touhy Avenue,","Des Plaines, IL",60018,496,https://www.mhvillage.com/parks/10374
Oasis Mobile Home Park,"7500 Elmhurst Road,","Des Plaines, IL",60018,600,https://www.mhvillage.com/parks/10372
Town & Country,"815 East Oakton Street,","Des Plaines, IL",60018,309,https://www.mhvillage.com/parks/10375
Chain O Lakes Mobile Homes,"24430 W Highway 120,","Grayslake, IL",60030,66,https://www.mhvillage.com/parks/47088
Saddlebrook Farms,"1 Saddlebrook Drive,","Grayslake, IL",60030,1775,https://www.mhvillage.com/parks/75235
Avon Mobile Home Park,"360 Ivanhoe Rd,","Grayslake, IL",60030,Not found,https://www.mhvillage.com/parks/57880
Hi-Way Mh Park,"1200 N Division St,","Harvard, IL",60033,Not found,https://www.mhvillage.com/parks/57867
Sunset View Mh Park,"347 S Division St,","Harvard, IL",60033,Not found,https://www.mhvillage.com/parks/57866
Ravinia Lake Bluff,"213 North Skokie Highway,","Lake Bluff, IL",60044,63,https://www.mhvillage.com/parks/10801
South Shore Village,"240 Whitney Road,","Lake Zurich, IL",60047,42,https://www.mhvillage.com/parks/10802
Harbor Lites,"1009 W. Bay Road, Office #24,","McHenry, IL",60051,50,https://www.mhvillage.com/parks/11047
Ports of Sullivan,"135 Stowaway,","Lakemoor, IL",60051,Not found,https://www.mhvillage.com/parks/129651
Paul's Mobile Home Park,"26312 North State Route 83,","Mundelein, IL",60060,18,https://www.mhvillage.com/parks/10806
Diamond Lake Mobile Home Park,"26265 N. Il Route 83,","Mundelein, IL",60060,63,https://www.mhvillage.com/parks/10805
Villas Of Timber Creek,"1 Timber Creek Drive,","Round Lake, IL",60073,247,https://www.mhvillage.com/parks/10813
Fish Lake Beach RV,"32223 N Us Highway 12,","Volo, IL",60073,Not found,https://www.mhvillage.com/parks/72942
Cambridge Courts,"775 W. Long Lake Drive,","Round Lake, IL",60073,329,https://www.mhvillage.com/parks/10809
Harmony Village,"430 Barrington Road,","Wauconda, IL",60084,136,https://www.mhvillage.com/parks/10815
Woodland Mobile Home Park,"410 Barrington Road,","Wauconda, IL",60084,100,https://www.mhvillage.com/parks/10816
Maple Grove Estates,"3308 Kehm Blvd.,","Park City, IL",60085,613,https://www.mhvillage.com/parks/33821
Farmington Estates,"3308 Kehm Boulevard,","Park City, IL",60085,225,https://www.mhvillage.com/parks/11674
Genes Evergreen Estates,"735 Staben Street,","Park City, IL",60085,200,https://www.mhvillage.com/parks/10817
Midway Estates,"3308 Kehm Boulevard,","Park City, IL",60085,198,https://www.mhvillage.com/parks/10808
Park City Manufactured Home Community,"3418 Kehm Boulevard,","Park City, IL",60085,641,https://www.mhvillage.com/parks/57237
Lake View Manufactured Home Community,"38285 N Sheridan Rd,","Beach Park, IL",60087,188,https://www.mhvillage.com/parks/10820
Kings Way Estates,"38455 North Sheridan Road,","Beach Park, IL",60087,361,https://www.mhvillage.com/parks/11356
Pinecrest Mobile Home Park,"37021 N Sheridan Rd,","Beach Park, IL",60087,Not found,https://www.mhvillage.com/parks/10824
Whippletree Village,"525 N. Mchenry Rd.,","Wheeling, IL",60090,407,https://www.mhvillage.com/parks/10420
Fox Point,"573 South Milwaukee Avenue,","Wheeling, IL",60090,45,https://www.mhvillage.com/parks/10419
Sunset Village,"2450 Waukegan Road,","Northfield, IL",60093,329,https://www.mhvillage.com/parks/10408
Hollyhock Hill Mobile Home Park,"1601 Sheridan Rd,","Winthrop Harbor, IL",60096,Not found,https://www.mhvillage.com/parks/106900
Beach Mobile Home Park,"38703 North Sheridan Road,","Beach Park, IL",60099,208,https://www.mhvillage.com/parks/10829
Avalon Mobile Home Park,"1639 Sheridan Road,","Zion, IL",60099,31,https://www.mhvillage.com/parks/10828
Shoreline Terrace,"38569 N Sheridan Rd,","Beach Park, IL",60099,Not found,https://www.mhvillage.com/parks/105849
Spring Lake Mobile Home Estates,"100 First Street,","Bartlett, IL",60103,511,https://www.mhvillage.com/parks/10341
Cortland,"300 South Somonauk Road,","Dekalb, IL",60115,81,https://www.mhvillage.com/parks/10437
Southmoor Estates Manufactured Home Community,"1032 South 7th Street,","Dekalb, IL",60115,100,https://www.mhvillage.com/parks/10438
Old Oaks Estates,"850 Villa Street,","Elgin, IL",60120,264,https://www.mhvillage.com/parks/11676
Villa Garden Estates,"452 Lucille Avenue,","Elgin, IL",60120,141,https://www.mhvillage.com/parks/10687
Willow Lake Estates,"161 West River Road,","Elgin, IL",60123,623,https://www.mhvillage.com/parks/10688
Bueche's Mobile Home Park,"909 South Mclean Boulevard,","Elgin, IL",60123,Not found,https://www.mhvillage.com/parks/36384
Forest View Manor Manufactured Home Park,"100 Forest View Drive,","Genoa, IL",60135,100,https://www.mhvillage.com/parks/10439
Indian Trails,"1150 Briden Drive,","Marengo, IL",60152,167,https://www.mhvillage.com/parks/11045
Guerine Mobile Home Park,"4700 Division Street,","Melrose Park, IL",60160,347,https://www.mhvillage.com/parks/10404
Meadowcreek Mobile Home Park,"4503 West Lake Street,","Melrose Park, IL",60160,287,https://www.mhvillage.com/parks/10418
Edgebrook,"1801 Dekalb Avenue,","Sycamore, IL",60178,247,https://www.mhvillage.com/parks/10447
Pleasant Ridge,"27W370 Geneva Road,","West Chicago, IL",60185,148,https://www.mhvillage.com/parks/10476
Wood Dale Estates,"140 South Wood Dale Road,","Wood Dale, IL",60191,97,https://www.mhvillage.com/parks/10477
Pheasant Lake Estates,"1 Pheasant Circle,","Beecher, IL",60401,613,https://www.mhvillage.com/parks/87
Imperial MHP,"106 East Jefferson Street,","Shorewood, IL",60404,184,https://www.mhvillage.com/parks/36813
AAA Mobile Home Park,"2005 West 139th Street,","Blue Island, IL",60406,105,https://www.mhvillage.com/parks/10342
American Mobile Home Park,"14149 S Western Ave,","Blue Island, IL",60406,47,https://www.mhvillage.com/parks/10343
Smith Mobile Homes,"14115 South Western Avenue,","Blue Island, IL",60406,233,https://www.mhvillage.com/parks/10350
Sycamore Mobile Home Park,"1750 W Broadway,","Blue Island, IL",60406,86,https://www.mhvillage.com/parks/11682
Colonial Estates,"14139 South Western Avenue,","Dixmoor, IL",60406,183,https://www.mhvillage.com/parks/10346
Blue Island Mobile Home Park,"13667 Western Avenue,","Blue Island, IL",60406,Not found,https://www.mhvillage.com/parks/10344
Broadway Estates,"2800 Broadway Street,","Blue Island, IL",60406,Not found,https://www.mhvillage.com/parks/10345
Modern Estates & Forest View Mobile Home Park,"14001 Western Avenue,","Blue Island, IL",60406,Not found,https://www.mhvillage.com/parks/10349
Mourning Trailer Park,"452 N Vernon Dr,","Godley, IL",60407,Not found,https://www.mhvillage.com/parks/11568
Dixon Mobile Home Park,"177 N Center St,","Braidwood, IL",60408,Not found,https://www.mhvillage.com/parks/11556
River Oaks Mobile Estates,"2025 Dolton Road,","Calumet City, IL",60409,301,https://www.mhvillage.com/parks/10352
Park Harbor Mobile Home Park,"4 Oak Court,","Calumet City, IL",60409,Not found,https://www.mhvillage.com/parks/10351
Remington Woods,"22500 S Remington Dr,","Channahon, IL",60410,175,https://www.mhvillage.com/parks/42386
Alpine Village,"450 Chillon Drive,","Lynwood, IL",60411,677,https://www.mhvillage.com/parks/10365
Weatherstone Lakes,"21191 Torrence Avenue,","Sauk Village, IL",60411,105,https://www.mhvillage.com/parks/37881
Candlelight Village,"4 Candlelight Drive,","Sauk Village, IL",60411,309,https://www.mhvillage.com/parks/10361
Paradise Park,"699 Michelle Drive,","Lynwood, IL",60411,278,https://www.mhvillage.com/parks/57999
Linway Estates,"2836 East Lincoln Highway,","Chicago Heights, IL",60411,300,https://www.mhvillage.com/parks/10362
Manson Mobile Home Park,"3001 Forest Preserve Drive,","Chicago Heights, IL",60411,Not found,https://www.mhvillage.com/parks/10363
Burt Estates,"300 N Daley Street,","Diamond, IL",60416,242,https://www.mhvillage.com/parks/10549
Burt Estates,"300 N Daley St,","Diamond, IL",60416,Not found,https://www.mhvillage.com/parks/10550
Queens Estates,"1712 South Dixie Highway,","Crete, IL",60417,148,https://www.mhvillage.com/parks/11561
Gianni Mobile Home Park,"925 Main Street,","Crete, IL",60417,Not found,https://www.mhvillage.com/parks/11560
Creek Ridge,"300 East Spencer Street,","Dwight, IL",60420,97,https://www.mhvillage.com/parks/10851
Dwight Mobile Home Park,"401 West Williams Street,","Dwight, IL",60420,Not found,https://www.mhvillage.com/parks/10852
Olsen Mobile Home Park,"516 E Seminole St,","Dwight, IL",60420,Not found,https://www.mhvillage.com/parks/10850
Shady Nook Mobile Home Park,"314 S Saint Louis St,","Elwood, IL",60421,80,https://www.mhvillage.com/parks/11565
Gateway Manufactured Home Community,"22900 South Big Run Drive,","Frankfort, IL",60423,442,https://www.mhvillage.com/parks/29546
Bookwalter Woods,"23 Sistek Road,","Gardner, IL",60424,167,https://www.mhvillage.com/parks/10551
"Dixie Garden Homes, Inc","15000 Dixie Highway,","Harvey, IL",60426,187,https://www.mhvillage.com/parks/10382
Specialville Estates,"14136 S. Wood Street,","Dixmoor, IL",60426,Not found,https://www.mhvillage.com/parks/129579
Western Crossing,"14001 S. Western Avenue,","Dixmoor, IL",60426,Not found,https://www.mhvillage.com/parks/129298
Hazel Crest MHC,"16902 Dixie Hwy,","Hazel Crest, IL",60429,22,https://www.mhvillage.com/parks/106444
Ely's Trailer Park,"861 Ridge Road,","Homewood, IL",60430,Not found,https://www.mhvillage.com/parks/10389
Stateville Court Federal Employee Community,"St Rte 53,","Joliet, IL",60435,Not found,https://www.mhvillage.com/parks/11578
Modern Manor,"1703 South Chicago Street,","Joliet, IL",60436,40,https://www.mhvillage.com/parks/89
Peet's Mobile Home Park,"1519 S Chicago St,","Joliet, IL",60436,Not found,https://www.mhvillage.com/parks/11573
Busy Bee Mobile Home Park,"13555 South Archer Avenue,","Lemont, IL",60439,Not found,https://www.mhvillage.com/parks/10397
Triangal Mh Park,"15051 S Archer Ave,","Lockport, IL",60441,Not found,https://www.mhvillage.com/parks/57834
Timber Ridge Park LLC,"21700 Timber Ridge Road,","Matteson, IL",60443,773,https://www.mhvillage.com/parks/10402
Maple Brook,"21635 Ridgeland Avenue,","Matteson, IL",60443,440,https://www.mhvillage.com/parks/10401
Benson Mobile Home Park,"Sucker Road,","Mazon, IL",60444,14,https://www.mhvillage.com/parks/11667
Rustic Acres Mobile Home Park,"3510 S Dwight Rd,","Mazon, IL",60444,Not found,https://www.mhvillage.com/parks/107164
Shady Oaks,"14 Central,","Minooka, IL",60447,364,https://www.mhvillage.com/parks/10555
Golf Vista Estates,"4951 Augusta Blvd.,","Monee, IL",60449,497,https://www.mhvillage.com/parks/11581
Dresden Acres,"9070 North Dresden Drive,","Morris, IL",60450,Not found,https://www.mhvillage.com/parks/10556
Hildy Mobile Home Park,"1215 Price St,","Morris, IL",60450,Not found,https://www.mhvillage.com/parks/106920
Oak Forest,"5110 159th Street,","Oak Forest, IL",60452,70,https://www.mhvillage.com/parks/10409
Airway Manufactured Housing Community,"9001 South Cicero Avenue,","Oak Lawn, IL",60453,268,https://www.mhvillage.com/parks/10410
Rosebud,"8800 South Harlem Avenue,","Bridgeview, IL",60455,865,https://www.mhvillage.com/parks/11680
Sterling Estates,"9300 W. 79th St.,","Justice, IL",60458,807,https://www.mhvillage.com/parks/10391
Chief Mobile Home Park,"8101 West 79th Street,","Justice, IL",60458,165,https://www.mhvillage.com/parks/10390
Riverside West Manufactured Homes,"North Park Street,","Wilmington, IL",60481,11,https://www.mhvillage.com/parks/126080
Carter Mobile Home Park,"North Park Street,","Wilmington, IL",60481,Not found,https://www.mhvillage.com/parks/11584
Shadow Lakes - Tully Monster Village,"Coal City Rd,","Wilmington, IL",60481,Not found,https://www.mhvillage.com/parks/127512
Arrow Ridge Estates,"11701 S Ridgeland Ave,","Worth, IL",60482,93,https://www.mhvillage.com/parks/75081
Water's Edge Estates,"7240 West 107th Street,","Worth, IL",60482,173,https://www.mhvillage.com/parks/10424
Southwest Estates,"10401 Southwest Highway,","Worth, IL",60482,111,https://www.mhvillage.com/parks/10423
Arrow Mobile Home Park,"11725 Sourth Ridgeland Avenue,","Worth, IL",60482,120,https://www.mhvillage.com/parks/10421
Margarets Hi-Acre,"1100 Rural St,","Aurora, IL",60505,100,https://www.mhvillage.com/parks/58112
Breazeale Trailer Park,"1147 Rural Street,","Aurora, IL",60505,Not found,https://www.mhvillage.com/parks/10676
Margaret's Parkview Estates,"800 Hill Avenue,","Aurora, IL",60505,Not found,https://www.mhvillage.com/parks/10678
Dearborn Mobile Home Park,"1700 Block E Dearborn Ave,","Aurora, IL",60505,Not found,https://www.mhvillage.com/parks/106938
Patterson Mh Park,"1220 Hinckley St,","Aurora, IL",60505,Not found,https://www.mhvillage.com/parks/58111
Oak Terrace Manufactured Home Community,"42 Oak Terrace Court,","Batavia, IL",60510,Not found,https://www.mhvillage.com/parks/10683
Earlville Mobile Home Park,"4461 E 1251st Road,","Earlville, IL",60518,31,https://www.mhvillage.com/parks/10741
Century Estates,"1610 E Us Route 34,","Earlville, IL",60518,Not found,https://www.mhvillage.com/parks/107406
Century Estates,"1610 Walter Payton Memorial Hwy,","Earlville, IL",60518,Not found,https://www.mhvillage.com/parks/107408
Country Club Woods,"9800 Joliet Rd.,","Countryside, IL",60525,310,https://www.mhvillage.com/parks/29162
"Weeping Willow Ranch MHC, LLC.","6801 S. La Grange Rd.,","Hodgkins, IL",60525,182,https://www.mhvillage.com/parks/68350
Valley Oaks,"6208 Lawn Drive,","Hodgkins, IL",60525,132,https://www.mhvillage.com/parks/11715
La Grange Estates,"6 Court Dr,","La Grange, IL",60525,115,https://www.mhvillage.com/parks/11668
Parkview MHC,"8783 Canary Lane,","Hodgkins, IL",60525,165,https://www.mhvillage.com/parks/10386
Crooked Tree Campground,"8574 Milbrook Road,","Millbrook, IL",60536,40,https://www.mhvillage.com/parks/10720
Oak Grove Mobile Home Village,"1336 Douglas Avenue,","Montgomery, IL",60538,85,https://www.mhvillage.com/parks/10689
Countryside Estates MHP,"E 2750th Road & Center Street,","Sandwich, IL",60548,63,https://www.mhvillage.com/parks/10441
Wildwood Estates,"1 Birch Drive,","Sandwich, IL",60548,476,https://www.mhvillage.com/parks/83
Triangle Manufactured Home Community,"1251 Lauren Drive,","Sandwich, IL",60548,72,https://www.mhvillage.com/parks/10446
Jon's Estates,"12 Chrissy Drive,","Sandwich, IL",60548,35,https://www.mhvillage.com/parks/10444
Sandwich Mobile Home Park,"1027 East Railroad Street,","Sandwich, IL",60548,Not found,https://www.mhvillage.com/parks/10445
Leifheit Mh Park,"435 S Elm St,","Waterman, IL",60556,Not found,https://www.mhvillage.com/parks/57631
Waterman Mobile Home Park,"250 E Lincoln Highway,","Waterman, IL",60556,Not found,https://www.mhvillage.com/parks/107252
Hide Away Lakes Mobile Home Park,"8045 Van Emmon Road,","Yorkville, IL",60560,Not found,https://www.mhvillage.com/parks/64590
Harbor Point Estates,"4000 East 134th Street,","Chicago, IL",60633,775,https://www.mhvillage.com/parks/28682
OK Trailer Park,"2826 E 138th Place,","Chicago, IL",60633,Not found,https://www.mhvillage.com/parks/10358
South East,"401 136th Street,","Chicago, IL",60633,Not found,https://www.mhvillage.com/parks/10354
Oak Lane Mobile Home Park,"11750 South Homan Avenue,","Merrionette Park, IL",60803,223,https://www.mhvillage.com/parks/10359
Century Mobile Home Park,"12357 South Ashland Avenue,","Calumet Park, IL",60827,Not found,https://www.mhvillage.com/parks/10355
Skyview Estates,"93 N. 3530E Road,","Kankakee, IL",60901,28,https://www.mhvillage.com/parks/103599
Kankakee Estates,"1995 South Schuyler Avenue,","Kankakee, IL",60901,168,https://www.mhvillage.com/parks/10704
