"Name","Address","City_State_ZIP","ZIP","Number_of_Sites","Url","House.district","Senate.district","full_address","lat","long","County"
"Willoway Terrace","2300 East Oakton Street,","Arlington Heights, IL",60005,"339","https://www.mhvillage.com/parks/11670","54","27","2300 East Oakton Street, Arlington Heights, IL 60005",42.0955268,-87.9568791,"Cook County"
"Royal Oaks Mobile Home Park","7920 Ridgefield Road,","Crystal Lake, IL",60014,"54","https://www.mhvillage.com/parks/11042","63","32","7920 Ridgefield Road, Crystal Lake, IL 60014",42.2550888,-88.35299,"McHenry County"
"Rand Road Community","1330 Rand Road,","Des Plaines, IL",60016,"140","https://www.mhvillage.com/parks/10373","56","28","1330 Rand Road, Des Plaines, IL 60016",42.050116,-87.890418,"Cook County"
"Buckhorn Estates","2993 Curtis Street,","Des Plaines, IL",60018,"143","https://www.mhvillage.com/parks/10367","55","28","2993 Curtis Street, Des Plaines, IL 60018",42.000345,-87.879599,"Cook County"
"Blackhawk Estates","400 West Touhy Avenue,","Des Plaines, IL",60018,"496","https://www.mhvillage.com/parks/10374","77","39","400 West Touhy Avenue, Des Plaines, IL 60018",42.007724,-87.9239625,"Cook County"
"Oasis Mobile Home Park","7500 Elmhurst Road,","Des Plaines, IL",60018,"600","https://www.mhvillage.com/parks/10372","56","28","7500 Elmhurst Road, Des Plaines, IL 60018",42.0152298,-87.9402892,"Cook County"
"Town & Country","815 East Oakton Street,","Des Plaines, IL",60018,"309","https://www.mhvillage.com/parks/10375","56","28","815 East Oakton Street, Des Plaines, IL 60018",42.0235653,-87.9025656,"Cook County"
"Avon Mobile Home Park","360 Ivanhoe Rd,","Grayslake, IL",60030,"Not found","https://www.mhvillage.com/parks/57880","62","31","360 Ivanhoe Rd, Grayslake, IL 60030",42.3355055,-88.0291346,"Lake County"
"Hi-Way Mh Park","1200 N Division St,","Harvard, IL",60033,"Not found","https://www.mhvillage.com/parks/57867","69","35","1200 N Division St, Harvard, IL 60033",42.42853,-88.613649,"McHenry County"
"Sunset View Mh Park","347 S Division St,","Harvard, IL",60033,"Not found","https://www.mhvillage.com/parks/57866","69","35","347 S Division St, Harvard, IL 60033",42.4130501,-88.6135615,"McHenry County"
"Ravinia Lake Bluff","213 North Skokie Highway,","Lake Bluff, IL",60044,"63","https://www.mhvillage.com/parks/10801","58","29","213 North Skokie Highway, Lake Bluff, IL 60044",42.2844043,-87.8706228,"Lake County"
"South Shore Village","240 Whitney Road,","Lake Zurich, IL",60047,"42","https://www.mhvillage.com/parks/10802","51","26","240 Whitney Road, Lake Zurich, IL 60047",42.1914044,-88.1036006,"Lake County"
"Ports of Sullivan","135 Stowaway,","Lakemoor, IL",60051,"Not found","https://www.mhvillage.com/parks/129651","64","32","135 Stowaway, Lakemoor, IL 60051",42.3434037,-88.1947089,"Lake County"
"Villas Of Timber Creek","1 Timber Creek Drive,","Round Lake, IL",60073,"247","https://www.mhvillage.com/parks/10813","62","31","1 Timber Creek Drive, Round Lake, IL 60073",42.349475,-88.084157,"Lake County"
"Cambridge Courts","775 W. Long Lake Drive,","Round Lake, IL",60073,"329","https://www.mhvillage.com/parks/10809","62","31","775 W. Long Lake Drive, Round Lake, IL 60073",42.3644115,-88.1014873,"Lake County"
"Harmony Village","430 Barrington Road,","Wauconda, IL",60084,"136","https://www.mhvillage.com/parks/10815","52","26","430 Barrington Road, Wauconda, IL 60084",42.253504,-88.1431751,"Lake County"
"Woodland Mobile Home Park","410 Barrington Road,","Wauconda, IL",60084,"100","https://www.mhvillage.com/parks/10816","52","26","410 Barrington Road, Wauconda, IL 60084",42.2522419,-88.1376845,"Lake County"
"Maple Grove Estates","3308 Kehm Blvd.,","Park City, IL",60085,"613","https://www.mhvillage.com/parks/33821","59","30","3308 Kehm Blvd., Park City, IL 60085",42.3490193,-87.8838158,"Lake County"
